I (295430) gaga.wake: [A],294607,1.079,0.079,0.021,0.027,1.078,0.562,1.250,-0.344
I (295441) gaga.wake: [A],294618,1.080,0.080,0.020,0.026,1.079,0.781,1.594,-0.812
I (295452) gaga.wake: [A],294629,1.077,0.077,0.020,0.029,1.076,0.062,1.438,-0.438
I (295463) gaga.wake: [A],294640,1.079,0.079,0.021,0.025,1.079,0.469,1.594,-0.500
I (295474) gaga.wake: [A],294651,1.080,0.080,0.021,0.028,1.080,0.031,1.188,-0.125
I (295485) gaga.wake: [A],294662,1.080,0.080,0.019,0.026,1.080,0.031,1.281,-0.594
I (295496) gaga.wake: [A],294673,1.079,0.079,0.020,0.027,1.079,0.750,1.375,-0.406
I (295507) gaga.wake: [A],294684,1.077,0.077,0.019,0.028,1.076,0.594,1.625,-0.469
I (295518) gaga.wake: [A],294695,1.081,0.081,0.020,0.031,1.081,0.188,1.562,-0.125
I (295529) gaga.wake: [A],294706,1.078,0.078,0.019,0.030,1.077,-0.188,0.781,-0.188
I (295540) gaga.wake: [A],294717,1.078,0.078,0.019,0.030,1.078,0.781,1.438,0.281
I (295551) gaga.wake: [A],294728,1.077,0.077,0.020,0.026,1.076,0.531,1.344,-0.938
I (295562) gaga.wake: [A],294739,1.079,0.079,0.021,0.030,1.078,0.156,1.938,-0.406
I (295573) gaga.wake: [A],294750,1.078,0.078,0.021,0.028,1.078,0.688,1.469,-0.688
I (295584) gaga.wake: [A],294761,1.077,0.077,0.020,0.026,1.077,0.500,1.281,-0.656
I (295595) gaga.wake: [A],294772,1.081,0.081,0.019,0.025,1.080,0.312,0.938,-0.906
I (295606) gaga.wake: [A],294783,1.078,0.078,0.020,0.027,1.077,0.656,1.406,-0.344
I (295617) gaga.wake: [A],294794,1.077,0.077,0.019,0.028,1.077,0.562,1.062,-0.250
I (295628) gaga.wake: [A],294805,1.077,0.077,0.020,0.029,1.076,0.500,1.062,-0.281
I (295639) gaga.wake: [A],294816,1.079,0.079,0.020,0.030,1.078,0.531,1.594,-0.656
I (295650) gaga.wake: [A],294827,1.080,0.080,0.019,0.027,1.079,0.594,1.219,-0.375
I (295661) gaga.wake: [A],294838,1.077,0.077,0.021,0.029,1.077,0.219,1.656,-0.344
I (295672) gaga.wake: [A],294849,1.080,0.080,0.021,0.028,1.080,0.812,1.719,-0.188
I (295683) gaga.wake: [A],294860,1.081,0.081,0.020,0.026,1.081,0.375,1.750,-0.094
I (295694) gaga.wake: [A],294871,1.081,0.081,0.018,0.027,1.080,0.500,1.219,-0.438
I (295705) gaga.wake: [A],294882,1.079,0.079,0.021,0.026,1.079,0.219,1.312,-0.562
I (295716) gaga.wake: [A],294893,1.076,0.076,0.018,0.026,1.075,0.312,1.000,-0.344
I (295727) gaga.wake: [A],294904,1.080,0.080,0.022,0.026,1.079,0.781,1.312,0.125
I (295738) gaga.wake: [A],294915,1.078,0.078,0.023,0.030,1.078,0.812,1.375,-0.188
I (295749) gaga.wake: [A],294926,1.077,0.077,0.021,0.027,1.077,0.312,1.312,-0.312
I (295760) gaga.wake: [A],294937,1.079,0.079,0.023,0.025,1.079,0.562,1.812,-0.219
I (295771) gaga.wake: [A],294948,1.080,0.080,0.020,0.028,1.079,0.312,1.312,-0.500
I (295782) gaga.wake: [A],294959,1.079,0.079,0.019,0.029,1.079,0.281,1.562,-0.469
I (295793) gaga.wake: [A],294970,1.079,0.079,0.019,0.029,1.078,0.219,1.750,-0.156
I (295804) gaga.wake: [A],294981,1.078,0.078,0.021,0.028,1.077,0.469,1.688,-0.781
I (295815) gaga.wake: [A],294992,1.078,0.078,0.020,0.026,1.078,0.438,1.000,-0.156
I (295826) gaga.wake: [A],295003,1.079,0.079,0.022,0.026,1.078,0.844,2.125,-0.469
I (295837) gaga.wake: [A],295014,1.079,0.079,0.021,0.026,1.079,0.594,1.594,-0.562
I (295848) gaga.wake: [A],295025,1.074,0.074,0.020,0.027,1.074,0.281,1.625,0.125
I (295859) gaga.wake: [A],295036,1.079,0.079,0.022,0.029,1.078,0.406,1.438,0.156
I (295870) gaga.wake: [A],295047,1.078,0.078,0.021,0.028,1.078,0.625,1.562,-0.625
I (295881) gaga.wake: [A],295058,1.076,0.076,0.021,0.029,1.076,0.406,1.531,-0.531
I (295892) gaga.wake: [A],295069,1.078,0.078,0.019,0.026,1.078,-0.062,1.688,-7.875
I (295903) gaga.wake: [A],295080,1.080,0.080,0.020,0.025,1.080,0.844,1.438,0.062
I (295914) gaga.wake: [A],295091,1.080,0.080,0.020,0.025,1.080,0.781,1.344,-0.281
I (295925) gaga.wake: [A],295102,1.078,0.078,0.021,0.029,1.078,-0.062,1.188,-0.781
I (295936) gaga.wake: [A],295113,1.081,0.081,0.022,0.024,1.080,0.188,1.500,-0.062
I (295947) gaga.wake: [A],295124,1.085,0.085,0.025,0.030,1.084,0.469,0.594,0.156
I (295958) gaga.wake: [A],295135,1.079,0.079,0.023,0.031,1.078,0.250,1.656,0.219
I (295969) gaga.wake: [A],295146,1.080,0.080,0.019,0.031,1.080,0.875,1.312,0.062
I (295980) gaga.wake: [A],295157,1.081,0.081,0.018,0.029,1.081,0.312,1.188,-0.438
I (295991) gaga.wake: [A],295168,1.080,0.080,0.019,0.030,1.079,0.719,1.094,-0.469
I (296002) gaga.wake: [A],295179,1.080,0.080,0.020,0.026,1.080,0.094,1.531,-0.125
I (296013) gaga.wake: [A],295190,1.078,0.078,0.019,0.028,1.078,0.812,0.531,-0.438
I (296024) gaga.wake: [A],295201,1.080,0.080,0.020,0.027,1.079,0.688,1.438,-0.406
I (296035) gaga.wake: [A],295212,1.078,0.078,0.020,0.025,1.078,0.344,1.594,-0.469
I (296046) gaga.wake: [A],295223,1.078,0.078,0.019,0.027,1.077,0.531,1.625,-0.312
I (296057) gaga.wake: [A],295234,1.080,0.080,0.021,0.025,1.079,0.375,1.188,-0.250
I (296068) gaga.wake: [A],295245,1.079,0.079,0.021,0.026,1.078,0.562,1.156,-0.906
I (296079) gaga.wake: [A],295256,1.079,0.079,0.021,0.027,1.078,1.000,1.375,-0.438
I (296090) gaga.wake: [A],295267,1.079,0.079,0.020,0.028,1.078,0.562,1.781,-0.594
I (296101) gaga.wake: [A],295278,1.080,0.080,0.019,0.029,1.079,0.531,1.562,0.000
I (296112) gaga.wake: [A],295289,1.078,0.078,0.021,0.028,1.077,0.125,1.562,-0.031
I (296123) gaga.wake: [A],295300,1.081,0.081,0.019,0.028,1.080,0.469,1.406,-0.219
I (296134) gaga.wake: [A],295311,1.079,0.079,0.021,0.030,1.078,0.625,1.438,-0.594
I (296145) gaga.wake: [A],295322,1.078,0.078,0.022,0.026,1.078,0.375,1.125,0.156
I (296156) gaga.wake: [A],295333,1.078,0.078,0.021,0.027,1.077,0.438,1.625,-0.312
I (296167) gaga.wake: [A],295344,1.078,0.078,0.022,0.026,1.077,0.688,1.250,-0.656
I (296178) gaga.wake: [A],295355,1.079,0.079,0.020,0.028,1.078,1.031,1.406,0.156
I (296189) gaga.wake: [A],295366,1.080,0.080,0.020,0.026,1.080,0.750,1.750,-0.562
I (296200) gaga.wake: [A],295377,1.079,0.079,0.019,0.027,1.079,0.438,1.031,-0.188
I (296211) gaga.wake: [A],295388,1.081,0.081,0.019,0.027,1.080,0.312,1.531,-0.219
I (296222) gaga.wake: [A],295399,1.081,0.081,0.021,0.028,1.080,0.688,1.594,-0.406
I (296233) gaga.wake: [A],295410,1.079,0.079,0.019,0.027,1.079,0.688,0.719,-0.500
I (296244) gaga.wake: [A],295421,1.079,0.079,0.021,0.027,1.079,0.469,1.375,-0.375
I (296255) gaga.wake: [A],295432,1.077,0.077,0.021,0.025,1.077,0.281,1.375,-0.156
I (296266) gaga.wake: [A],295443,1.076,0.076,0.022,0.025,1.076,0.438,1.219,-0.156
I (296277) gaga.wake: [A],295454,1.078,0.078,0.021,0.026,1.077,0.438,1.688,-0.719
I (296288) gaga.wake: [A],295465,1.078,0.078,0.021,0.026,1.078,0.625,1.281,-0.219
I (296299) gaga.wake: [A],295476,1.078,0.078,0.019,0.027,1.077,0.312,1.594,-0.688
I (296310) gaga.wake: [A],295487,1.079,0.079,0.020,0.030,1.079,0.406,1.406,0.000
I (296321) gaga.wake: [A],295498,1.077,0.077,0.020,0.028,1.076,0.312,1.062,-0.188
I (296332) gaga.wake: [A],295509,1.080,0.080,0.019,0.029,1.079,0.500,1.656,-0.250
I (296343) gaga.wake: [A],295520,1.082,0.082,0.018,0.028,1.081,0.375,1.469,-0.281
I (296354) gaga.wake: [A],295531,1.078,0.078,0.021,0.028,1.078,-0.062,1.344,-0.156
I (296365) gaga.wake: [A],295542,1.079,0.079,0.022,0.026,1.079,0.469,1.188,-0.125
I (296376) gaga.wake: [A],295553,1.079,0.079,0.020,0.025,1.079,0.125,1.562,0.188
I (296387) gaga.wake: [A],295564,1.080,0.080,0.021,0.026,1.079,0.469,1.438,-0.906
I (296398) gaga.wake: [A],295575,1.079,0.079,0.021,0.025,1.078,0.438,0.938,-0.375
I (296409) gaga.wake: [A],295586,1.077,0.077,0.020,0.026,1.076,0.594,1.031,0.188
I (296420) gaga.wake: [A],295597,1.081,0.081,0.020,0.027,1.080,0.344,1.219,-0.250
I (296431) gaga.wake: [A],295608,1.081,0.081,0.021,0.027,1.081,0.500,1.750,0.000
I (296442) gaga.wake: [A],295619,1.078,0.078,0.019,0.026,1.077,0.062,1.688,-0.625
I (296453) gaga.wake: [A],295630,1.080,0.080,0.018,0.028,1.079,0.406,0.812,-0.219
I (296464) gaga.wake: [A],295641,1.083,0.083,0.018,0.027,1.082,0.906,1.594,-0.094
I (296475) gaga.wake: [A],295652,1.076,0.076,0.020,0.028,1.076,0.750,1.281,0.062
I (296486) gaga.wake: [A],295663,1.080,0.080,0.022,0.028,1.080,0.781,1.219,-0.094
I (296497) gaga.wake: [A],295674,1.080,0.080,0.022,0.026,1.079,0.219,1.656,-0.312
I (296508) gaga.wake: [A],295685,1.081,0.081,0.021,0.025,1.080,0.156,1.500,-0.156
I (296519) gaga.wake: [A],295696,1.079,0.079,0.019,0.027,1.078,0.688,1.625,-0.281
I (296530) gaga.wake: [A],295707,1.081,0.081,0.019,0.027,1.081,0.156,1.188,0.156
I (296541) gaga.wake: [A],295718,1.080,0.080,0.019,0.029,1.080,0.406,1.625,-0.594
I (296552) gaga.wake: [A],295729,1.076,0.076,0.019,0.026,1.075,0.531,1.656,-0.062
I (296563) gaga.wake: [A],295740,1.077,0.077,0.021,0.028,1.076,0.562,1.156,-0.312
I (296574) gaga.wake: [A],295751,1.079,0.079,0.020,0.029,1.078,0.812,1.594,-0.719
I (296585) gaga.wake: [A],295762,1.078,0.078,0.021,0.028,1.078,0.906,1.625,-0.656
I (296596) gaga.wake: [A],295773,1.080,0.080,0.019,0.027,1.079,0.531,1.188,-0.406
I (296607) gaga.wake: [A],295784,1.079,0.079,0.021,0.027,1.079,0.188,1.625,-0.375
I (296618) gaga.wake: [A],295795,1.079,0.079,0.020,0.028,1.078,0.781,1.375,0.125
I (296629) gaga.wake: [A],295806,1.079,0.079,0.021,0.026,1.078,0.531,1.188,-0.125
I (296640) gaga.wake: [A],295817,1.079,0.079,0.022,0.027,1.079,0.250,1.250,-0.625
